ISO3,Year,actual_funding,pred_funding,funding_ratio_gap,neighbor_avg_ratio_gap,neighbor_avg_funding,relative_to_peers
SOM,2023,56628902.28,43350108.784462556,0.3063151135689144,-0.32949566745834635,87836697.728,0.6358107810272607
SOM,2024,33337080.75,56570698.89870014,-0.41070056762607887,0.09538447513199384,54065751.622,-0.5060850427580728
SOM,2025,56363515.23,42429906.15274559,0.3283912301642642,-0.15097945746478716,49460464.725999996,0.47937068762905133
SSD,2018,53365968.25,,,-0.06889494885408935,56208863.054,
SSD,2019,79967710.69,,,-0.16446587116183486,48358651.246,
SSD,2020,62382675.09,74160783.914376,-0.15881855884876672,-0.08446527771642404,51068871.464,-0.07435328113234269
SSD,2021,69151386.84,59893763.67169,0.1545673973513506,-0.16281176676645337,49715129.114,0.317379164117804
SSD,2022,49484152.5,62161932.713844426,-0.20394765188857922,-0.03513177309546689,56985226.203999996,-0.16881587879311233
SSD,2023,55600285.75,66621873.88608668,-0.1654349764302927,-0.16414283607234892,53232136.234,-0.001292140357943783
SSD,2024,38917034.64,57032987.05023554,-0.3176399018743088,-0.06889494885408935,56208863.054,-0.24874495302021943
SSD,2025,44425815.09,43167103.55146091,0.029159045545841256,-0.13145967881507603,54660243.46400001,0.1606187243609173
SYR,2018,36974947.64,,,0.0346185565631341,57625004.29399999,
SYR,2019,52653212.04,,,-0.08476269874500031,54176990.033999994,
SYR,2020,68737943.05,56352407.75326001,0.21978715356707146,-0.18627931618235757,50960043.831999995,0.40606646974942906
SYR,2021,67657796.25999999,66442183.91212041,0.018295791563495367,-0.1191155288478322,51176073.19,0.1374113204113276
SYR,2022,46030213.83,74020880.07741742,-0.3781455478257266,0.01677567857788844,56713522.84799999,-0.39492122640361504
SYR,2023,62485132.45999999,72172673.82942794,-0.13422727544116453,-0.032007975899023974,53422539.121999994,-0.10221929954214055
SYR,2024,35029130.76,62878365.190887794,-0.44290646466940353,0.029727861946623822,58913739.46199999,-0.47263432661602733
SYR,2025,49657611.71,34898160.87359379,0.42292918786944345,-0.14343926856114558,55988043.272,0.5663684564305891
TCD,2025,10616291.93,22314893.384475056,-0.5242508334193531,-0.42967034404001986,24225655.252000004,-0.09458048937933322
UKR,2019,2987682.19,,,2.8160575061146136,54233455.598000005,
UKR,2020,10725140.42,8364653.631713162,0.28219779230755626,3.8989850750580732,115198048.95799999,-3.6167872827505168
